S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
1.01,1032.3,2.0275111,0
2.3,199.505,0.9538475,0
1.01,1531.0,2.910672,0
1.39,1888.0,3.3971558,0
1.09,9.55237,0.091092232,0
1.09,21.05704,0.15731712,0
1.11,989.2,2.0376687,0
0.97,3630.0,5.3408873,0
1.13,1075.69,2.15164,0
1.12,48.056,0.26933625,0
1.27,10.8985,0.1163259,0
0.84,1129.0,2.7225,0
1.59,437.7,1.3206758,0
1.1,394.48123,1.048788,0
1.1,1624.0,2.7349424,0
1.2,68.27,0.332376,0
1.05,7.8543,0.08146875,0
1.05,30.93,0.198205,0
1.13,5.239891,0.0615,0
2.17,835.477,2.3683851,0
0.84,1143.0,2.0094,0
1.94,1056.4,2.5845,0
1.18,825.9,1.820819,0
1.4,324.0,1.017336,0
0.58,663.2,1.252152,0
0.58,1818.0,2.4888,0
1.49,610.2,1.66272,0
0.6,937.70001,1.7757585,0
1.27,4000.0,5.9000699,0
0.94,1121.79,2.0734501,0
0.8,83.9151,0.380808,0
0.85,493.7,1.1720269,0
0.85,4319.0,4.9155417,0
1.24,1622.1,3.1031457,0
1.24,223.41,0.78841536,0
0.83,670.0,1.65,0
0.83,907.0,1.7241985,0
1.05,2621.75,3.8336729,0
0.72,433.70001,1.1096745,0
1.08,25.8,0.182025,0
1.84,6.1335,0.0733635,0
1.0,16.9841,0.130104,0
1.12,1945.0,3.162656,0
1.12,37.91,0.239305,0
1.91,711.0,2.0844,0
2.39,2082.0,5.23654,0
1.62,63.33,0.3301485,0
1.01,58.83,0.29772765,0
0.29,9.6737,0.08,0
1.11,557.04,1.5142065,0
1.11,4.15514,0.052462906,0
1.11,2835.0,4.0878838,0
0.67,133.60001,0.540432,0
0.9,960.41,1.8381252,0
1.2,262.70862,0.900648,0
1.2,1708.0,2.8158524,0
1.26,1244.0,2.5691985,0
0.83,453.019,1.1337605,0
0.83,921.538,1.7619945,0
0.65,298.2,1.0113315,0
0.99,1840.0,3.6105,0
0.92,10.70871,0.092538896,0
1.34,896.0,2.0429248,0
1.19,1951.0,3.819216,0
1.35,2613.0,4.7497864,0
2.24,471.60001,1.2955625,0
1.03,974.0,2.094444,0
1.08,1544.0,2.683404,0
0.95,649.0,1.518408,0
0.95,3568.0,5.0290245,0
0.93,5769.0,7.2942075,0
1.09,3.2696,0.0488955,0
1.09,1291.5646,2.4072764,0
1.1,258.17999,0.8314245,0
1.1,5000.0,5.84176,0
0.81,11.5824,0.09431532,0
0.81,27.5821,0.16673328,0
0.81,107.5983,0.41447184,0
1.48,464.29999,1.3303125,0
1.14,14763.405,13.11672,0
0.68,330.0,0.947672,0
1.29,19.382,0.1540308,0
1.29,931.0,2.044616,0
1.3,4218.0,5.15103,0
1.35,1125.7,2.3718,0
1.32,11.53533,0.1131556,0
2.4,1455.0,3.8829513,0
1.07,94.44,0.415332,0
1.07,201.99,0.68979373,0
1.07,1069.8,2.0957224,0
1.07,5000.0,5.169,0
1.09,653.21997,1.626075,0
1.23,349.7,1.034739,0
